Број,Општина,Населено место,Градба/место,Фотографија,Unnamed: 5
293,Дојран (5),Стар Дојран,Дојрански амам,,
294,Дојран (5),Стар Дојран,Саат-кула,,
295,Дојран (5),Стар Дојран,Црква „Св. Илија“,,
296,Дојран (5),Нов Дојран,Археолошки комплекс „Топлец“,,
295,Дојран (5),Фурка,Црква „Св. Пророк Илија“,,
297,Долнени (7),Дебреште,Археолошко наоѓалиште „Градиште“,,
298,Долнени (7),Житоше,Црква „Св. Атанасиј Житоечки“,,
299,Долнени (7),Зрзе,Зрзески манастир,,
300,Долнени (7),Зрзе,Црква „Св. Никола“,,
301,Долнени (7),Костинци,Црква „Рождество на Пресвета Богородица“,,
302,Долнени (7),Небрегово,Спомен-дом „Блаже Конески“,,
303,Долнени (7),Слепче,Црква „Св. Никола“,,
304,Желино (1),Желино,Желински мост,,
305,Зелениково (3),Градовци,Црква „Св. Ѓорѓи,,
306,Зелениково (3),Зелениково,Археолошко наоѓалиште „Слатина“,,
307,Зелениково (3),Таор,Археолошко наоѓалиште „Тули“,,
308,Зрновци (1),Мородвис,Морозвизд,,
309,Јегуновце (4),Беловиште,Археолошко наоѓалиште „Градиште“,,
310,Јегуновце (4),Орашје,Орашко Кале,,
311,Јегуновце (4),Сиричино,Црква „Св. Петка“,,
311,Јегуновце (4),Туденце,Археолошко наоѓалиште „Црквиште“,,
312,Кавадарци (11),Ваташа,Црква „Св. Никола“,,
313,Кавадарци (11),Ваташа,Спомен-куќа на Страшо Пинџур,,
314,Кавадарци (11),Ваташа,Споменик на дванаесетте ваташки младинци,,
315,Кавадарци (11),Дабниште,Црква „Успение на Пресвета Богородица“,,
316,Кавадарци (11),Драдња,Црква „Св. Никола“,,
317,Кавадарци (11),Дреново,Црква „Св. Богородица“,,
317,Кавадарци (11),Дреново,Археолошко наоѓалиште „Картозов Рид“,,
318,Кавадарци (11),Кавадарци,Маркова кула,,
319,Кавадарци (11),Кавадарци,[[Тиквеш (винарија)|Стара винарска визба „Тиквеш“],,
320,Кавадарци (11),Полошко,Црква „Св. Ѓорѓи“,,
321,Кавадарци (11),Ресава,Археолошко наоѓалиште „Градот“,,
322,Карбинци (13),Карбинци,Куќа на Дамбеви,,
323,Карбинци (13),Козјак,Баргала,,
324,Карбинци (13),Козјак,Археолошко наоѓалиште „Градот/Кале“,,
325,Карбинци (13),Козјак,Археолошко наоѓалиште „Селиште“,,
326,Карбинци (13),Козјак,Археолошко наоѓалиште „Бандера“,,
327,Карбинци (13),Козјак,Црква „Св. Ѓорѓи“,,
328,Карбинци (13),Крупиште,Археолошко наоѓалиште „Клетовник“,,
329,Карбинци (13),Крупиште,Базилика Крупиште,,
330,Карбинци (13),Крупиште,Црква „Св. Никола“,,
331,Карбинци (13),Крупиште,Црвена Црква,,
332,Карбинци (13),Радање,Мехмед-агина џамија,,
333,Карбинци (13),Таринци,Археолошко наоѓалиште „Вршник“,,
334,Карбинци (13),Таринци,Археолошко наоѓалиште „Крст“,,
335,Кичево (25),Кичево,Китино Кале,,
336,Кичево (25),Кичево,Палатиште,,
336,Кичево (25),Кичево,Спомен-костурница,,
337,Кичево (25),Кичево,Куќа на НОБ,,
338,Кичево (25),Кичево,Зграда на Музејот „Западна Македонија во НОБ“,,
339,Кичево (25),Кичево,Куќа на ул. „Маршал Тито“ бр. 58,,
340,Кичево (25),Кичево,Куќа на ул. „29 Ноември“ бр. 32,,
341,Кичево (25),Кичево,Куќа на ул. „Тане Целески“ бр. 19 и 21,,
342,Кичево (25),Кичево,Станбен објект на ул. „Јанко Михајловски“ бр. 11 и 13,,
343,Кичево (25),Кичево,Кичевска чаршија,,
344,Кичево (25),Лазаровци,Црква „Св. Ѓорѓи“,,
345,Кичево (25),Подвис,Стара училишна зграда,,
346,Кичево (25),Цер,Археолошко наоѓалиште „Црквиште/Зад Забел“,,
347,Кичево (25),Цер,Спомен-гробница на Христо Узунов,,
348,Кичево (25),Цер,Црква „Мицеви“,,
349,Кичево (25),Цер,Црква „Св. Никола“,,
350,Кичево (25),Цер,Црква „Св. Спас“,,
351,Кичево (25),Цер,Црква „Св. Петка“,,
352,Кичево (25),Манастирско Доленци,Кичевски манастир,,
353,Кичево (25),Јагол Доленци,Археолошко наоѓалиште „Суви Ливади“,,
354,Кичево (25),Миокази,Археолошко наоѓалиште „Градиште“,,
355,Кичево (25),Вранештица,Црква „Св. Илија“,,
356,Кичево (25),Вранештица,Црква „Св. Ѓорѓи“,,
357,Кичево (25),Длапкин Дол,Археолошко наоѓалиште „Чукаре“,,
358,Кичево (25),Длапкин Дол,Археолошко наоѓалиште „Св. Ѓорѓи“,,
359,Конче (1),Конче,Црква „Св. Стефан“,,
360,Кочани (4),Кочани,Средновековни кули,,
361,Кочани (4),Кочани,Саат-кула,,
362,Кочани (4),Кочани,Споменик на слободата,,
363,Кочани (4),Костин Дол,"Стопанска целина, стопански објекти на воден погон",,
364,Кратово (26),Коњух,Црква „Св. Ѓорѓи“,,
365,Кратово (26),Кратово,Симиќева кула,,
366,Кратово (26),Кратово,Саат кула,,
366,Кратово (26),Кратово,"Урнатини од 4 средновековни кули (Хаџи-Костова кула, Крстева кула, Еминбегова кула, Златкова кула)",,
,Кратово (26),,,,
,Кратово (26),,,,
,Кратово (26),,,,
371,Кратово (26),Кратово,Куќа на ул. „Јосиф Даскалов“ бр. 58,,
372,Кратово (26),Кратово,Куќа на ул. „Христијан Тодоровски – Карпош“ бр. 1,,
393,Кратово (26),Кратово,Соколова куќа,,
374,Кратово (26),Кратово,Куќа на ул. „Јосиф Даскалов“ бр. 56,,
375,Кратово (26),Кратово,Куќа на ул. „Јосиф Даскалов“ бр. 80,Не постои куќата; урната.,
376,Кратово (26),Кратово,Куќа на ул. „Јосиф Даскалов“ бр. 61,,
377,Кратово (26),Кратово,Куќа на ул. „Јосиф Даскалов“ бр. 59,,
378,Кратово (26),Кратово,Куќа на ул. „Јосиф Даскалов“ бр. 66,,
379,Кратово (26),Кратово,Куќа на ул. „Планинска“ бр. 17,,
380,Кратово (26),Кратово,Куќа на ул. „Глигор Пазавански“ бр. 17,,
381,Кратово (26),Кратово,Куќа на ул. „Глигор Пазавански“ бр. 22,,
382,Кратово (26),Кратово,Куќа на ул. „Гоце Делчев“ (или „Ѓуро Салај“) бр. 4,,
383,Кратово (26),Кратово,Куќа на ул. „Цветко Танев“,,
384,Кратово (26),Кратово,"Целина на средноковни мостови (Гровчански мост, Чаршиски мост, Јокширски мост Радин мост, Горен мост, Аргулички мост)",,
,Кратово (26),,,,
,Кратово (26),,,,
,Кратово (26),,,,
384,Кратово (26),Кратово,Гровчански мост,,
389,Кратово (26),Кратово,Аргулички мост,,
390,Кратово,Ајдучка чаршија,,,
391,Кратово,Стар ан,,,
392,Кратово,Црква „Св. Јован Крстител“,,,
392,Кратово,Старо градско јадро,,,
394,Шлегово,Камени споменици околу гробјанската црква „Свети Никола“,,,
395,Шопско Рударе,Црква „Св. Никола“,,,
396,Крива Паланка (7),Варовиште,Осоговски манастир,,
399,Крива Паланка (7),Градец,Градиште,,
397,Крива Паланка (7),Дурачка Река,Валавици на Дурачка Река,,
398,Крива Паланка (7),Крива Паланка,Куќа на ул. „Никола Тесла“ бр. 13,,
400,Крива Паланка (7),Крива Паланка,Црква „Св. Димитриј“,,
399,Крива Паланка (7),Мождивњак,Црква „Св. Троица“,,
401,Крива Паланка (7),Трново,Црква „Св. Никола“,,
402,Крушево (50),Алданци,Археолошко наоѓалиште „Градиште“,,
403,Крушево (50),Белушино,Црква „Св. Никола“,,
404,Крушево (50),Бучин,Стар мост,,
405,Крушево (50),Крушево,Куќа на Никола Карев,,
406,Крушево (50),Крушево,Куќа на Крушевската Република,,
407,Крушево (50),Крушево,Работилница за оружје,,
408,Крушево (50),Крушево,Споменик „Илинден“,,
409,Крушево (50),Крушево,Куќа на ул. „Коча Миленку“ бр. 4,,
410,Крушево (50),Крушево,Куќа на ул. „Коча Миленку“ бр. 13,,
411,Крушево (50),Крушево,Куќа на ул. „Коча Миленку“ бр. 14,,
412,Крушево (50),Крушево,Куќа на ул. „Коча Миленку“ бр. 15,,
413,Крушево (50),Крушево,Куќа на ул. „Коча Миленку“ бр. 22,,
414,Крушево (50),Крушево,Куќа на ул. „Коча Миленку“ бр. 27,,
415,Крушево (50),Крушево,Куќа на ул. „Коча Миленку“ бр. 29,,
416,Крушево (50),Крушево,Куќа на ул. „Коча Миленку“ бр. 32,,
417,Крушево (50),Крушево,Куќа на ул. „Нико Доага“ бр. 52,,
418,Крушево (50),Крушево,Куќа на ул. „Нико Доага“ бр. 55,,
419,Крушево (50),Крушево,Куќа на ул. „Нико Доага“ бр. 56,,
420,Крушево (50),Крушево,Куќа на ул. „Нико Доагѓа“ бр. 65,,
421,Крушево (50),Крушево,Куќа на ул. „Нико Доага“ бр. 66,,
422,Крушево (50),Крушево,Куќа на ул. „Нико Доага“ бр. 67,,
423,Крушево (50),Крушево,Куќа на ул. „Нико Доага“ бр. 68,,
424,Крушево (50),Крушево,Куќа на ул. „Партизанска“ бр. 6,,
425,Крушево (50),Крушево,Куќа на ул. „Партизанска“ бр. 28,,
426,Крушево (50),Крушево,Куќа на ул. „Партизанска“ бр. 30,,
427,Крушево (50),Крушево,Куќа на ул. „Партизанска“ бр. 38,,
428,Крушево (50),Крушево,Куќа на ул. „Манчу Матак“ бр. 28,Нова градба на нејзино место; не постои,
429,Крушево (50),Крушево,Куќа на ул. „Манчу Матак“ бр. 32,Срушена градба; не постои,
430,Крушево (50),Крушево,Куќа на ул. „Манчу Матак“ бр. 34,,
431,Крушево (50),Крушево,Куќа на ул. „Тома Никле“ бр. 16,,
432,Крушево (50),Крушево,Куќа на ул. „Тома Никле“ бр. 18,,
433,Крушево (50),Крушево,Куќа на ул. „Илинденска“ бр. 100,,
434,Крушево (50),Крушево,Куќа на ул. „Илинденска“ бр. 101,,
435,Крушево (50),Крушево,Куќа на ул. „Таки Бербер“ бр. 16,,
436,Крушево (50),Крушево,Куќа на ул. „Таки Бербер“ бр. 17,,
437,Крушево (50),Крушево,Куќа на ул. „Питу Гули“ бр. 1,,
438,Крушево (50),Крушево,Куќа на ул. „Питу Гули“ бр. 29,,
439,Крушево (50),Крушево,Куќа на ул. „Благој Целев“ бр. 15,,
440,Крушево (50),Крушево,Куќа на ул. „Благој Целев“ бр. 25,,
441,Крушево (50),Крушево,Куќа на ул. „Благој Целев“ бр. 28,,
442,Крушево (50),Крушево,Куќа на ул. „Мише Ефтим“ бр. 63,,
443,Крушево (50),Крушево,Куќа на ул. „Никола Ѓурковиќ“ бр. 11,,
444,Крушево (50),Крушево,Куќа на ул. „Шула Мина“ бр. 34,,
445,Крушево (50),Крушево,Куќа на Градскиот народен комитет,,
446,Крушево (50),Крушево,Куќа на ул. „8 Септември“ бр. 23,,
447,Крушево (50),Крушево,Куќа на ул. „Мише Ефтим“ бр. 20,,
448,Крушево (50),Крушево,Иконостасот од црквата „Св. Јован Крстител“,,
449,Крушево (50),Крушево,Спомен-куќа на Тоше Проески,,
450,Крушево (50),Крушево,Дом на културата „Наум Наумовски – Борче“,,
451,Крушево (50),Крушево,Зграда на Музејот на НОВ,,
452,Куманово (11),Довезенце,Црква „Вознесение Христово“,,
453,Куманово (11),Куманово,Црква „Св. Никола“,,
454,Куманово (11),Куманово,Спомен-костурница,,
455,Куманово (11),Куманово,Куќа на ул. „Моша Пијаде“ бр. 138,,
456,Куманово (11),Куманово,Спомен-куќа на Христијан Тодоровски-Карпош,,
457,Куманово (11),Куманово,"Македонка, споменик на Револуцијата",,
458,Куманово (11),Куманово,Татар Синан Бег џамија,,
458,Куманово (11),Куманово,Занаечиски дом,,
458,Куманово (11),Куманово,Соколански дом,,
458,Куманово (11),Куманово,Хотел „Солун“,,
459,Куманово (11),Табановце,Џамија Коџа Мегмед Бег,,
460,Липково (2),Матејче,Жеглиговски манастир,,
461,Липково (2),Матејче,Црква „Св. Ѓорѓи“,,
462,Лозово (1),Ѓуземелци,Црква „Св. Ѓорѓи“,,
463,Маврово и Ростуше (78),Битуше,Куќа на партизанската печатница „Гоце Делчев“,,
464,Маврово и Ростуше (78),Галичник,Куќа на Партенија Зографски,,
465,Маврово и Ростуше (78),Галичник,Куќа на Ѓорѓија Пулевски,,
466,Маврово и Ростуше (78),Галичник,Куќа – сопственик Иљо Панговски/Ванковски,,
467,Маврово и Ростуше (78),Галичник,Куќа – сопственици Митре Ѓозински и Велимир Чанговски,,
468,Маврово и Ростуше (78),Галичник,Куќа – сопственик Иљо Ванковски,дупликат,
469,Маврово и Ростуше (78),Галичник,Куќа – сопственик Пејчин Томовски,,
470,Маврово и Ростуше (78),Галичник,Куќа – сопственици Иљо и Стрезо Цубалевски,,
471,Маврово и Ростуше (78),Галичник,Куќа – сопственик Велимир Ѓиновски,,
472,Маврово и Ростуше (78),Галичник,Куќа – сопственик Глигор Тулевски,,
473,Маврово и Ростуше (78),Галичник,Куќа – сопственици Милош и Динго Меловски,,
474,Маврово и Ростуше (78),Галичник,Куќа – сопственици Нико и Славко Филиповски,,
475,Маврово и Ростуше (78),Галичник,Куќа – сопственик Алекса Муратовски,,
476,Маврово и Ростуше (78),Галичник,Куќа – сопственик Трајче Чапаровски,,
477,Маврово и Ростуше (78),Галичник,Куќа – сопственик Митре Тортевски,,
478,Маврово и Ростуше (78),Галичник,Куќа – сопственик Мане Шулевски,,
479,Маврово и Ростуше (78),Галичник,Куќа – сопственик Косто Шаклевски,,
480,Маврово и Ростуше (78),Галичник,Куќа – сопственици Ристе и Блаже Меловски,,
481,Маврово и Ростуше (78),Галичник,Куќа – сопственик Симон Поповски,,
482,Маврово и Ростуше (78),Галичник,Куќа – сопственик Петре Лукановски,,
483,Маврово и Ростуше (78),Галичник,Куќа – сопственик Методија Секуловски,,
484,Маврово и Ростуше (78),Галичник,Куќа – сопственик Кузе Фрчковски,,
485,Маврово и Ростуше (78),Галичник,Куќа – сопственик Јаков Денковски,,
486,Маврово и Ростуше (78),Галичник,Куќа – сопственик Дамјан Голчевски,,
487,Маврово и Ростуше (78),Галичник,Куќа – сопственик Јаков Тримчески,,
488,Маврово и Ростуше (78),Галичник,Куќа – сопственик Ѓорѓи Чалчевски,,
489,Маврово и Ростуше (78),Галичник,Куќа – сопственици Василко и Трајан Крцковски,,
490,Маврово и Ростуше (78),Галичник,Куќа – сопственици Петре и Миле Желчевски,,
491,Маврово и Ростуше (78),Галичник,Куќа – сопственик Јосе Пљачковски,,
492,Маврово и Ростуше (78),Галичник,Куќа – сопственик Ристе Чоланчески,,
493,Маврово и Ростуше (78),Галичник,Куќа – сопственици Доксим и Ефто Чадловски,,
494,Маврово и Ростуше (78),Галичник,Куќа – сопственик Ѓорѓе Карановски,,
495,Маврово и Ростуше (78),Галичник,Куќа – сопственици Борис и Томо Бундалевски,,
496,Маврово и Ростуше (78),Галичник,Куќа – сопственик Иљо Филиповски,,
497,Маврово и Ростуше (78),Галичник,Куќа – сопственик Меле Граорковски,,
498,Маврово и Ростуше (78),Галичник,Куќа – сопственик Ристе Бужаровски,,
499,Маврово и Ростуше (78),Галичник,Куќа – сопственици Ристе и Никола Ванковски,,
500,Маврово и Ростуше (78),Галичник,Куќа – сопственик Кире Томовски,,
501,Маврово и Ростуше (78),Галичник,Куќа – сопственик Веле Ванковски,,
502,Маврово и Ростуше (78),Галичник,Куќа – сопственик Никола Николовски,,
503,Маврово и Ростуше (78),Галичник,Куќа – сопственици Ѓорѓи и Деспот Филиповски,,
504,Маврово и Ростуше (78),Галичник,Куќа – сопственици Ладе и Веле Лакински,,
505,Маврово и Ростуше (78),Галичник,Куќа – сопственици Јаков и Васе Бундовски,,
506,Маврово и Ростуше (78),Галичник,Куќа – сопственик Кире Крцковски,,
507,Маврово и Ростуше (78),Галичник,Куќа – сопственик Никола Куковски,,
508,Маврово и Ростуше (78),Галичник,Куќа – сопственик Доксе Лоновски,,
509,Маврово и Ростуше (78),Галичник,Куќа – сопственик Јован Муратовски,,
510,Маврово и Ростуше (78),Галичник,Куќа – сопственик Славко Брезовски,,
511,Маврово и Ростуше (78),Галичник,Куќа – сопственици Тодор и Русе Мицовски,,
512,Маврово и Ростуше (78),Галичник,Куќа – сопственици Меле и Ристе Куцуловски,,
513,Маврово и Ростуше (78),Галичник,Куќа – сопственик Павле Цинцаровски,,
514,Маврово и Ростуше (78),Галичник,Куќа – сопственик Динго Чаловски,,
515,Маврово и Ростуше (78),Галичник,Куќа – сопственици Борис и Трајче Филиповски,,
516,Маврово и Ростуше (78),Галичник,Куќа – сопственик Русе Геговски,,
517,Маврово и Ростуше (78),Галичник,Куќа – сопственик Тофе Кецкаровски,,
518,Маврово и Ростуше (78),Галичник,Куќа – сопственик Блаже Шотаровски,,
519,Маврово и Ростуше (78),Галичник,Куќа – сопственици Деспот и Мето Чаловски,,
520,Маврово и Ростуше (78),Галичник,Куќа – сопственици Кузе и Вељо Чаловски,,
521,Маврово и Ростуше (78),Галичник,Куќа – сопственик Стрезо Бундовски,,
522,Маврово и Ростуше (78),Галичник,Куќа – сопственик Јован Синокаповски,,
523,Маврово и Ростуше (78),Галичник,Галичник,,
524,Маврово и Ростуше (78),Јанче,Куќа – сопственик и корисник Јован Негриовски,,
525,Маврово и Ростуше (78),Јанче,Куќа – сопственик и корисник Илија Тортевски,,
526,Маврово и Ростуше (78),Јанче,Куќа – сопственик и корисник Биљали Амдија,,
527,Маврово и Ростуше (78),Јанче,Куќа – сопственик и корисник Осман Имери (Бојаџи),,
528,Маврово и Ростуше (78),Јанче,Куќа – сопственик и корисник Петко Деспотовски,,
529,Маврово и Ростуше (78),Јанче,Куќа – сопственик и корисник Лиман Суљоски,,
530,Маврово и Ростуше (78),Јанче,Куќа – сопственик и корисник Усни Амзовски и Шефкија Суљовски,,
531,Маврово и Ростуше (78),Јанче,Куќа – сопственик и корисник Лидија Лиман,,
532,Маврово и Ростуше (78),Кичиница,Кичиница,,
533,Маврово и Ростуше (78),Лазарополе,Црква „Св. Ѓорѓи“,,
534,Маврово и Ростуше (78),Никифорово,Археолошко наоѓалиште „Борче/Свети Пантелејмон“,,
535,Маврово и Ростуше (78),Ростуше,Бигорски манастир,,
536,Маврово и Ростуше (78),Ростуше,Куќа – сопственици Василко и Трајан Круковски,,
537,Маврово и Ростуше (78),Ростуше,Стара болница,,
538,Маврово и Ростуше (78),Селце,Црква „Св. Илија“,,
539,Маврово и Ростуше (78),Тресонче,Црква „Св. Петар и Павле“,,
540,Маврово и Ростуше (78),Тресонче,Црква „Св. Никола“,,
541,Македонски Брод (14),Белица,Црква „Св. Никола“,,
542,Македонски Брод (14),Бенче,Црква „Св. Архангел Михаил“,,
543,Македонски Брод (14),Брезница,Црква „Успение на Пресвета Богородица“,,
544,Македонски Брод (14),Здуње,Црква „Воведение на Пресвета Богородица“,,
545,Македонски Брод (14),Здуње,Црква „Св. Петар и Павле“,,
546,Македонски Брод (14),Ижиште,Црква „Св. Никола“,,
547,Македонски Брод (14),Ковач,Црква „Св. Атанасиј“,,
548,Македонски Брод (14),Македонски Брод,Црква „Света Богородица“,,
549,Македонски Брод (14),Модриште,Црква „Св. Атанасиј Велики“,,
550,Македонски Брод (14),Ореовец,Црква „Св. Архангел Гаврил“,,
551,Македонски Брод (14),Ореовец,Црква „Св. Никола“,,
550,Македонски Брод (14),Самоков,Црква „Св. Атанасиј“,,
550,Македонски Брод (14),Требино,Црква „Пресвета Богородица“,,
550,Македонски Брод (14),Требино,Црква „Св. Димитриј“,,
551,Могила (3),Беранци,Црквиште,,
552,Могила (3),Ивањевци,Археолошко наоѓалиште „Штала - Врбак“,,
552,Могила (3),Могила,Рековчанска Тумба,,
553,Неготино (3),Долни Дисан,Археолошко наоѓалиште „Два Гроба“,,
554,Неготино (3),Неготино,Саат-кула,,
555,Неготино (3),Неготино,Саат-кула,,
556,Новаци (4),Градешница,Црква „Св. Димитриј“,,
557,Новаци (4),Зовиќ,Археолошко наоѓалиште „Тумба Чебрен“,,
558,Новаци (4),Кајмакчалан,Црква „Св. Петар“,,
559,Новаци (4),Мегленци,Археолошко наоѓалиште „Мегленски Крст“,,
560,Ново Село (3),Барбарево,Археолошко наоѓалиште „Црвено Поле“,,
561,Ново Село (3),Борисово,Воденица за обработка на ориз,,
561,Ново Село (3),Ново Село,Воденица за обработка на ориз,,
562,Охрид (116),Велестово,Црква „Успение на Пресвета Богородица“,,
563,Охрид (116),Долно Лакочереј,Црква „Св. Еразмо“,,
564,Охрид (116),Долно Лакочереј,Археолошко наоѓалиште „Градиште“,,
565,Охрид (116),Коњско (Охридско),Црква „Св. Стефан Панцир“,,
565,Охрид (116),Косел,Споменик „Рашанец“,,
566,Охрид (116),Косел,Црква „Св. Никола“,,
567,Охрид (116),Косел,Археолошко наоѓалиште „Градиште“,,
568,Охрид (116),Куратица,Гробница на паднатите борци во НОБ,,
569,Охрид (116),Лескоец,Црква „Вознесение Христово“,,
570,Охрид (116),Љубаништа,Манастир „Св. Наум“,,
571,Охрид (116),Охрид,Воска амам,,
572,Охрид (116),Охрид,Ески амам,,
573,Охрид (116),Охрид,Антички театар,,
574,Охрид (116),Охрид,Археолошко наоѓалиште „Гробница-Видобишта“,,
575,Охрид (116),Охрид,Археолошко наоѓалиште „Козлук“,,
575,Охрид (116),Охрид,Археолошко наоѓалиште на ул. „Илинденска“ б.б.,,
577,Охрид (116),Охрид,"Хермелија („Габавци“, „Патерица“, „Амбарџица“)",,
578,Охрид (116),Охрид,Археолошко наоѓалиште „Свети Еразмо“,,
579,Охрид (116),Охрид,Археолошко наоѓалиште „Караѓулевци“,,
580,Охрид (116),Охрид,Галерија на икони,,
581,Охрид (116),Охрид,Гроб на Григор Прличев,,
582,Охрид (116),Охрид,Куќа на Христо Узунов,,
583,Охрид (116),Охрид,Спомен-могила на Славеј Планина,,
